title,link,occupation,companie,spec,location
Data analysis instructor / Consultant,https://wuzzuf.net/jobs/p/wwl3ctsttqyz-data-analysis-instructor-consultant-yat-learning-centers-cairo-egypt,Full TimeOn-site,Yat Learning Centers -,Full TimeOn-siteExperienced · 3 - 16 Yrs of Exp · Analyst/Research · Education/Teaching · Training/Instructor · Data Analysis · Data Analytics · Power BI · Python · Tableau · instructor,"Abbassia, Cairo, Egypt "
Data Analysis Instructor (Excel - Power BI),https://wuzzuf.net/jobs/p/yrl7xpryqnne-data-analysis-instructor-excel-power-bi-epsilonai-cairo-egypt,Full TimePart TimeFreelance / ProjectHybrid,EpsilonAI -,Full TimePart TimeFreelance / ProjectHybridEntry Level · 1+ Yrs of Exp · IT/Software Development · Analyst/Research · Training/Instructor · Analysis · business · Business Intelligence · Data Analysis · Computer Science · Power BI · SQL,"Nasr City, Cairo, Egypt "
Business Analysis,https://wuzzuf.net/jobs/p/uuxdh2czgss6-business-analysis-kcg-textile-egypt-sharqia-egypt,Full TimeOn-site,KCG Textile Egypt  -,Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · Business Development · Analyst/Research · Strategy/Consulting · Business Development · Data Analysis · Problem-solving · Business process analysis · Process mapping,"10th of Ramadan City, Sharqia, Egypt "
Data Analyst Engineer,https://wuzzuf.net/jobs/p/5lmb5l5ahjna-data-analyst-engineer-basco-engineering-trading-cairo-egypt,Full TimeOn-site,Basco Engineering &Trading -,Full TimeOn-siteExperienced · 2 - 6 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Engineering · Statistical Analysis · Data Visualization · Data Analysis · Dashboard Development · Problem Solving,"Heliopolis, Cairo, Egypt "
Data Analyst,https://wuzzuf.net/jobs/p/yf6asb5mkpeg-data-analyst-cairo-egypt,Full TimePart TimeOn-site,Confidential -,Full TimePart TimeOn-siteExperienced · 3 - 6 Yrs of Exp · Business Development · Operations/Management · Analyst/Research · Power BI · Data Visualization · Statistical Analysis · Data Cleaning,"Tora, Cairo, Egypt "
Senior Data Analyst,https://wuzzuf.net/jobs/p/uwwoalbmat66-senior-data-analyst-cairo-three-a-poultry-cairo-egypt,Full TimeOn-site, Cairo Three A  Poultry  -,Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Data Analysis · SQL · Problem Solving · Business Intelligence · Microsoft Excel · Power BI · Tableau · Data Visualization,"New Cairo, Cairo, Egypt "
Data Analyst,https://wuzzuf.net/jobs/p/xyrvzfhuqygq-data-analyst-matana-group-cairo-egypt,Full TimeOn-site,Matana Group -,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Analyst/Research · Data Analysis · Power BI · Microsoft Excel · Statistical Analysis · Data Visualization · Business Intelligence (BI) · Problem Solving · Communication,"Cairo, Egypt "
Senior Manager - Data Analytics,https://wuzzuf.net/jobs/p/0z01rmltftwu-senior-manager-data-analytics-alshaya-cairo-egypt,Full TimeOn-site,Alshaya -,Full TimeOn-siteManager · 7 - 10 Yrs of Exp · Analyst/Research · Sales/Retail · Data Analytics · CRM · Quantitative Research · Commercial Analysis · Performance Measurement · Loyalty Programme · Performance Analytics · Loyalty Programme Analytics,"Nasr City, Cairo, Egypt "
Senior Data Analyst,https://wuzzuf.net/jobs/p/8jyfd8nmzpfp-senior-data-analyst-allianz-cairo-egypt,Full TimeOn-site,Allianz -,Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Data · Insurance · Retail · Statistics · Analysis · Computer Science,"New Cairo, Cairo, Egypt "
Data Analyst,https://wuzzuf.net/jobs/p/ymfo0bf34y0r-data-analyst-wills-business-cairo-egypt,Full TimeOn-site,Wills business  -,Full TimeOn-siteExperienced · 2 - 6 Yrs of Exp · Business Development · Analyst/Research · Sales Strategy · Negotiation · Communication · Presentation Skills · Business Development · CRM System · CRM Application · Data Analysis,"Nasr City, Cairo, Egypt "
